date,air_temp_max_1m,air_temp_max_3m,air_temp_max_5m,air_temp_min_1m,air_temp_min_3m,air_temp_min_5m
1/1/2007,-30.9,,-30.8,-42.1,,-41.7
1/2/2007,-33.1,,-33,-41.7,,-41.2
1/3/2007,-33,,-33.1,-40.5,,-40.2
1/4/2007,-30.7,,-30.8,-37.6,,-37.3
1/5/2007,-29.4,,-29.3,-37.1,,-36.3
1/6/2007,-31.6,,-31.4,-39.6,,-39.1
1/7/2007,-29.8,,-29.5,-39.6,,-38.8
1/8/2007,-29.1,,-28.8,-39.1,,-38.6
1/9/2007,-16.7,,-16.1,-30.4,,-30.1
1/10/2007,-10.1,,-9.5,-20.7,,-19.1
1/11/2007,-6.7,,-6.6,-18.5,,-17.7
1/12/2007,-6.9,,-6.6,-20.1,,-18.9
1/13/2007,-6.3,,-6.1,-13.1,,-12.4
1/14/2007,-12.2,,-11.4,-24.6,,-24.8
1/15/2007,-23.7,,-23.7,-31.3,,-30.6
1/16/2007,-14.4,,-13.9,-32.1,,-31.4
1/17/2007,-8.1,,-7.9,-27.6,,-27
1/18/2007,-4.9,,-4.8,-15.5,,-14.8
1/19/2007,-11.2,,-10.8,-22.7,,-22.8
1/20/2007,-18.7,,-18.7,-29.9,,-29.1
1/21/2007,-25.8,,-25.8,-31.8,,-31
1/22/2007,-26.9,,-26.9,-31.5,,-31.3
1/23/2007,-27.2,,-27.1,-34.5,,-33.8
1/24/2007,-27.2,,-27.3,-36,,-35.4
1/25/2007,-23.2,,-22.3,-35.5,,-34.7
1/26/2007,-5.4,,-5.2,-23.6,,-23.3
1/27/2007,-4.3,,-4,-8,,-7.5
1/28/2007,-1.3,,-1,-9.3,,-8.8
1/29/2007,-2.7,,-2.6,-14.6,,-14
1/30/2007,-4.3,,-4.2,-17.7,,-17.7
1/31/2007,6.8,,7.2,-12,,-12.1
2/1/2007,2.5,,3.1,-7.3,,-6.5
2/2/2007,4.9,,5.6,-3,,-2.4
2/3/2007,0.1,,0.4,-10.2,,-10
2/4/2007,-7,,-6.8,-14,,-13.6
2/5/2007,-4.8,,-4.3,-20.2,,-18.9
2/6/2007,-5.3,,-4.9,-21.7,,-19.8
2/7/2007,-5.9,,-5.3,-16,,-14.8
2/8/2007,-8.5,,-7.8,-17.7,,-15.5
2/9/2007,-10.6,,-10.2,-22.6,,-22
2/10/2007,-20.5,,-19.7,-30.6,,-29.5
2/11/2007,-7.3,,-6.9,-32.1,,-31
2/12/2007,-10.6,,-10.1,-21.6,,-21.2
