date,hour,lake_temp_c,soil1_moss,soil1_5cm,soil1_10cm,soil1_20cm,soil1_50cm,soil1_100cm,soil1_150cm,soil2_moss,soil2_5cm,soil2_10cm,soil2_20cm,soil2_50cm,soil2_100cm,soil2_150cm
1/1/2007,300,1,-11,-10,-10,-9,-7,-5,-3,-10,-7,-6,-6,-5,-3,-1
1/1/2007,600,1,-11,-10,-10,-9,-7,-5,-3,-10,-7,-6,-6,-4,-3,-1
1/1/2007,900,1,-11,-10,-10,-9,-7,-5,-3,-11,-7,-6,-5,-4,-2,-1
1/1/2007,1200,1,-11,-10,-9,-9,-7,-5,-3,-11,-7,-6,-5,-4,-2,-1
1/1/2007,1500,2,-11,-10,-9,-8,-6,-4,-2,-11,-7,-6,-5,-4,-2,0
1/1/2007,1800,2,-11,-10,-9,-8,-6,-4,-2,-11,-6,-5,-4,-3,-1,0
1/1/2007,2100,2,-11,-10,-9,-8,-6,-4,-2,-10,-7,-6,-5,-3,-2,0
1/1/2007,2400,2,-11,-10,-9,-8,-6,-4,-2,-10,-7,-6,-5,-3,-1,0
1/2/2007,300,2,-11,-10,-9,-8,-6,-4,-2,-11,-7,-6,-5,-3,-1,0
1/2/2007,600,2,-12,-10,-9,-8,-6,-4,-2,-11,-7,-6,-5,-4,-2,0
1/2/2007,900,2,-12,-10,-9,-8,-6,-4,-2,-11,-7,-6,-5,-4,-2,0
1/2/2007,1200,2,-12,-10,-10,-9,-6,-4,-2,-11,-7,-6,-5,-4,-2,0
1/2/2007,1500,2,-12,-11,-10,-9,-7,-4,-2,-10,-7,-6,-5,-4,-2,0
1/2/2007,1800,2,-12,-11,-10,-9,-7,-4,-2,-11,-7,-6,-5,-4,-2,0
1/2/2007,2100,2,-12,-11,-10,-9,-7,-5,-3,-11,-8,-6,-5,-4,-2,-1
1/2/2007,2400,1,-12,-11,-11,-10,-8,-5,-3,-11,-8,-7,-6,-5,-3,-1
1/3/2007,300,1,-12,-11,-11,-10,-8,-6,-3,-10,-8,-7,-6,-5,-3,-1
1/3/2007,600,1,-12,-11,-10,-9,-7,-5,-3,-10,-8,-7,-6,-5,-2,-1
1/3/2007,900,2,-12,-11,-10,-9,-7,-5,-3,-11,-7,-6,-5,-4,-2,-1
1/3/2007,1200,1,-12,-11,-10,-9,-7,-5,-3,-11,-8,-7,-6,-4,-2,-1
1/3/2007,1500,1,-12,-11,-11,-10,-8,-5,-3,-11,-8,-7,-6,-5,-3,-1
1/3/2007,1800,1,-12,-11,-11,-10,-8,-6,-3,-11,-8,-7,-6,-5,-3,-1
1/3/2007,2100,1,-12,-11,-11,-10,-8,-6,-4,-11,-8,-7,-6,-5,-3,-1
1/3/2007,2400,1,-12,-11,-11,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-1
1/4/2007,300,1,-12,-11,-11,-10,-8,-6,-3,-10,-8,-7,-6,-5,-3,-1
1/4/2007,600,1,-12,-11,-11,-10,-8,-6,-3,-10,-8,-7,-6,-5,-3,-1
1/4/2007,900,1,-12,-11,-10,-10,-8,-6,-3,-10,-8,-7,-6,-5,-3,-1
1/4/2007,1200,1,-12,-11,-10,-10,-8,-6,-3,-11,-8,-7,-6,-5,-3,-1
1/4/2007,1500,1,-12,-11,-10,-10,-8,-6,-3,-11,-8,-7,-6,-5,-3,-1
1/4/2007,1800,1,-12,-11,-11,-10,-8,-6,-4,-11,-8,-7,-6,-5,-3,-1
1/4/2007,2100,1,-12,-11,-11,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/4/2007,2400,1,-12,-11,-11,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/5/2007,300,1,-12,-11,-10,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/5/2007,600,1,-12,-11,-10,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/5/2007,900,1,-11,-11,-10,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/5/2007,1200,1,-11,-11,-10,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/5/2007,1500,1,-11,-11,-10,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/5/2007,1800,1,-11,-11,-10,-9,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/5/2007,2100,1,-11,-10,-10,-9,-8,-6,-4,-10,-7,-7,-6,-5,-3,-1
1/5/2007,2400,1,-11,-11,-10,-9,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/6/2007,300,1,-11,-10,-10,-9,-7,-6,-4,-10,-7,-7,-6,-5,-3,-1
1/6/2007,600,1,-11,-10,-10,-9,-7,-5,-3,-11,-7,-6,-6,-5,-3,-1
1/6/2007,900,2,-11,-10,-10,-9,-7,-5,-3,-11,-7,-6,-5,-4,-3,-1
1/6/2007,1200,2,-11,-10,-9,-9,-7,-5,-3,-11,-7,-6,-5,-4,-2,-1
1/6/2007,1500,2,-11,-10,-10,-9,-7,-5,-3,-11,-7,-6,-5,-4,-2,-1
1/6/2007,1800,2,-12,-11,-10,-9,-7,-5,-3,-11,-8,-6,-6,-4,-3,-1
1/6/2007,2100,1,-12,-11,-10,-9,-8,-6,-4,-11,-8,-7,-6,-5,-3,-2
1/6/2007,2400,1,-12,-11,-10,-10,-8,-6,-4,-10,-8,-7,-6,-5,-3,-2
1/7/2007,300,1,-12,-11,-10,-10,-8,-6,-4,-11,-8,-7,-6,-5,-3,-2
1/7/2007,600,1,-12,-11,-10,-10,-8,-6,-4,-11,-8,-7,-6,-5,-3,-2
1/7/2007,900,1,-12,-11,-10,-10,-8,-6,-4,-11,-8,-7,-6,-5,-3,-2
1/7/2007,1200,1,-12,-11,-10,-10,-8,-6,-4,-11,-8,-7,-6,-5,-3,-2
1/7/2007,1500,1,-12,-11,-10,-9,-8,-6,-4,-11,-8,-7,-6,-5,-3,-2
1/7/2007,1800,1,-11,-10,-10,-9,-7,-5,-3,-11,-8,-7,-6,-5,-3,-1
1/7/2007,2100,1,-12,-11,-10,-9,-7,-6,-4,-12,-8,-7,-6,-5,-3,-1
1/7/2007,2400,1,-12,-11,-10,-9,-7,-5,-3,-12,-8,-7,-6,-5,-3,-1
1/8/2007,300,1,-12,-11,-10,-9,-7,-5,-4,-12,-8,-7,-6,-5,-3,-1
1/8/2007,600,1,-12,-11,-10,-9,-7,-6,-4,-12,-8,-7,-6,-5,-3,-1
1/8/2007,900,1,-12,-11,-10,-10,-8,-6,-4,-13,-8,-7,-6,-5,-3,-2
1/8/2007,1200,1,-13,-11,-11,-10,-8,-6,-4,-13,-8,-7,-6,-5,-3,-2
1/8/2007,1500,1,-13,-11,-11,-10,-8,-6,-4,-13,-8,-7,-7,-5,-3,-2
1/8/2007,1800,1,-13,-11,-11,-10,-8,-6,-4,-11,-8,-7,-7,-5,-4,-2
1/8/2007,2100,1,-13,-11,-11,-10,-8,-6,-4,-10,-8,-7,-7,-5,-4,-2
1/8/2007,2400,1,-13,-11,-11,-10,-8,-6,-4,-10,-8,-7,-7,-6,-4,-2
1/9/2007,300,1,-13,-12,-11,-10,-8,-6,-4,-10,-8,-7,-7,-6,-4,-2
1/9/2007,600,1,-13,-12,-11,-10,-8,-6,-4,-10,-8,-7,-7,-6,-4,-2
1/9/2007,900,1,-13,-12,-11,-10,-8,-6,-4,-10,-8,-7,-7,-6,-4,-2
1/9/2007,1200,1,-13,-11,-11,-10,-8,-6,-4,-9,-8,-7,-7,-5,-4,-2
1/9/2007,1500,1,-12,-11,-11,-10,-8,-6,-4,-9,-8,-7,-7,-5,-4,-2
1/9/2007,1800,1,-12,-11,-11,-10,-8,-6,-4,-9,-8,-7,-7,-5,-4,-2
